a,一個
airline,航空公司
birmingham,伯明罕
strike,打
smooth,光滑
exists,存在
consumption,消費
flashing,閃爍
representation,表示法
typically,通常
arrangements,安排
lp,LP
possibly,可能
regard,方面
qty,數量
afternoon,下午
narrow,窄
consultant,顧問
conferences,會議
sitting,坐
controller,控制器
ownership,擁有權
committees,委員會
putting,把
penis,陰莖
beastiality,野獸性
legislative,立法
gardens,園林
castle,城堡
willing,願意
labels,標籤
stored,數據處理
logos,標誌
unsubscribe,退訂
antique,古董
bio,生物
vietnam,越南
researchers,研究者
anne,安妮
heads,頭
malaysia,馬來西亞
hundred,百
sustainable,可持續的
acting,演技
exam,考試
milfs,徐娘半老
operators,運營商
attorneys,律師
upskirt,超短裙
residence,住宅
ryan,萊恩
strange,奇怪
molecular,分子的
antiques,古董
trailer,拖車
missed,錯過
density,密度
philippines,菲律賓
statistical,統計
bathroom,浴室
bills,條例草案
innovation,創新
grey,灰色
beds,床
operate,操作
pcs,個人電腦
breasts,䏎
opera,歌劇
mention,提到
von,馮
honda,本田
employers,雇主
doctors,醫生
bold,大膽
definitions,定義
lesson,課
amended,修訂
blowjobs,口交
stable,穩定
drinking,喝
parallel,平行
cinema,電影院
asset,資產
reaction,反應
scan,掃描
ag,銀
elections,選舉
severe,嚴重
vi,六
hospitals,醫院
generate,生成
blank,空白
enhanced,增強
humor,幽默
contrast,反差
deluxe,豪華
aged,老
lived,住
monitors,顯示器
visits,訪問
pmid,啪
sci,科學
capabilities,能力
bulk,散裝
tight,緊
exception,例外
duration,期間
stainless,不鏽的
newspapers,報紙
primarily,主要
pursuant,依據
indonesia,印尼
domains,域
entitled,題為
successfully,成功
fabric,織物
edt,美國東部時間
flying,飛行
berlin,柏林
adoption,採用
siemens,西門子
desire,慾望
mechanism,機制
organized,組織
recommendation,建議
improving,提高
cute,可愛
cr,鉻
recruitment,招聘
capture,捕獲
ba,八
meant,意味著
pounds,磅
sin,罪
plane,飛機
para,帕拉
pg,頁
seed,種子
programmes,計劃
ee,峨
jewellery,珠寶
explained,解釋
camping,露營
expensive,貴
expertise,專門知識
organisations,組織
buffalo,水牛
python,蟒
peer,同輩
bottle,瓶
welfare,福利
agreements,協定
marshall,馬歇爾
caught,抓住
considering,考慮到
marked,標記
conclusion,結論
monster,怪物
thousand,千
ing,正在
grace,恩典
rubber,橡膠
legend,傳說
driven,驅動
ks,堪薩斯州
innovative,創新
closing,關閉
massage,按摩
meat,肉
adams,亞當斯
measured,量過的
alex,亞歷克斯
eventually,最終
tampa,坦帕
susan,蘇珊
meets,會見
medline,醫療熱線
collaboration,協作
engineers,工程師
inner,內
holder,持有
sw,西南部
bang,砰
columns,列
tutorial,教程
ftp,FTP
villa,別墅
formation,編隊
bugs,錯誤
disorders,障礙
cookies,餅乾
roman,羅馬
portugal,葡萄牙
entity,實體
duties,事
cruises,郵輪
gate,門
settlement,殖民地
proposals,建議
bone,骨
tutorials,教程
med,地中海
lawrence,勞倫斯
moderator,慢化劑
hamilton,哈密爾頓
detection,檢波
valuable,寶貴
governments,政府
wing,翅膀
forever,永遠
operational,操作
taste,味道
erotic,性愛的
collectables,收藏品
neck,脖子
ethics,倫理學
dragon,龍
captain,船長
leg,腿
hd,硬碟
scripts,腳本
stereo,立體聲
purchasing,採購
heating,加熱
liberal,自由
tiny,小
dealing,交易
airlines,航空公司
abc,美國廣播公司
rail,軌
commit,犯
imagine,想像
tone,語氣
busy,忙
brings,帶來
fantastic,匪夷所思
appointed,委任
animation,動畫
aviation,航空
jr,小
sides,雙方
jacket,夾克
console,安慰
livecam,直播攝像頭
lease,租賃
excess,過剩
oracle,神諭
cache,緩存
productions,製作
jay,傑
disaster,災難
hobbies,愛好
descriptions,描述
determination,測定
proud,驕傲
gap,差距
trips,旅行
belt,帶
telecommunications,電信
instructor,教練
er,的
tube,管
commands,命令
giant,巨大
matthew,馬修
turns,轉彎
corresponding,相應
alarm,報警
ongoing,持續
injuries,損傷
seats,座位
shipped,運
achieved,實現
angle,角度
anthony,安東尼
mining,採礦
nintendo,任天堂
biz,商業
appeared,出現
approaches,方法
franklin,佛蘭克林
designers,設計師
melbourne,墨爾本
highlights,突出
stamps,郵票
liberty,自由
worst,糟糕
betting,博彩
loading,裝載
wyoming,懷俄明州
scientists,科學家
imaging,成像
rob,搶
voltage,電壓
usual,通常
vinyl,乙烯基
bestiality,獸交
thongs,皮帶
convert,轉換
exciting,令人興奮的
argentina,阿根廷
reliability,可靠性
desktops,桌面
respectively,分別
volunteers,志願者
unfortunately,不幸
finland,芬蘭
era,時代
attachment,附件
possibility,可能性
morgan,摩根
analyst,分析師
gcc,海灣合作委員會
oriented,面向
ringtone,鈴聲
columbus,哥倫布
honor,榮譽
pleasure,快樂
eagle,鷹
commissioner,專員
garage,車庫
dangerous,危險
derived,派生
pants,褲子
nurse,護士
asp,。.asp
blackjack,二十一點
postage,郵資
luck,運氣
appointment,約會
producer,製作人
represented,代表
workshops,車間
carefully,仔細
prayer,祈禱
quiet,安靜
responsibilities,責任
hurricane,颶風
dial,撥號
cheese,乳酪
jet,噴氣機
productivity,生產力
comic,漫畫
investors,投資者
picks,選擇
crack,裂紋
crown,冠
principle,原則
maker,製造者
diagnosis,診斷
calculated,計算
vacations,假期
gang,崗
underground,地下
semester,學期
mortgages,抵押貸款
par,㩱
incorporated,註冊
cafe,咖啡館
applies,適用
appearance,外觀
ken,眼界
cumshot,射精
mad,狂
filters,過濾器
apache,阿帕奇
algorithm,演算法
coins,硬幣
andy,安迪
cake,蛋糕
apart,分開
fetish,物神
strongly,強烈
horror,恐怖
gross,總
semi,半
lounge,休息室
notebooks,筆記本
valentine,情人
nv,內華達州
craft,工藝
casinos,賭場
fellow,傢伙
proteins,蛋白質
hilton,希爾頓
smoke,煙
blind,盲
su,蘇
familiar,熟悉
victory,勝利
mainly,主要地
exp,經驗
till,直到
involving,涉及
douglas,道格拉斯
cpu,中央處理器
sand,沙
investing,投資
pen,筆
shoe,鞋
christopher,克裡斯托弗
epson,愛普生
elected,當選
joy,喜悅
capable,能夠
actor,演員
editions,版本
finds,發現
parliament,議會
seal,密封
ran,跑
admission,承認
ethnic,民族
debian,德比安
madison,麥迪森
terrorism,恐怖主義
carrying,承載
citizen,公民
corrections,修正
occurs,發生
municipal,市政
prize,獎
situations,情況
allocated,分配
nr,星期日
initiatives,措施
structural,結構的
substance,物質
absolute,絕對
consists,由
anytime,隨時
addressed,解決
vertical,垂直
simulation,類比
lecture,演講
disabilities,障礙
ill,病
layout,佈局
fifth,第五
guardian,監護人
pipe,管
soldiers,士兵
describes,描述
lies,謊言
prohibited,禁止
jon,喬恩
sr,鍶
taught,教
lbs,磅
dirty,髒
horses,馬
lay,躺
interpretation,解釋
concentration,濃度
substances,物質
temple,寺廟
lol,哈哈
discovered,發現
classics,經典
deck,甲板
donate,捐
mp,議員
thin,薄
promise,承諾
breaks,休息
restrictions,限制
wayne,韋恩
worker,工人
genetic,遺傳
participating,參與
optimization,優化
alive,活著
exhibition,展覽
waters,水域
prove,證明
wings,翅膀
bankruptcy,破產
prefer,喜歡
streets,街道
bringing,帶
commentary,評論
tropical,熱帶
cabinet,內閣
modem,數據機
ridge,脊
mph,英里
composition,組成
turning,把
bet,打賭
toyota,豐田
nationwide,全國
shaved,剃
tiffany,蒂芬妮
dose,劑量
collect,收集
existence,存在
developments,發展
purple,紫色
sick,生病
definitely,絕對
vector,向量
def,定義
evaluate,評價
buffer,緩衝區
limousines,豪華轎車
larry,拉裡
harris,哈裡斯
immigration,移民
syntax,語法
pipeline,管道
attribute,屬性
prison,監獄
checked,檢查
popularity,人氣
mutual,互
lets,讓
necessarily,必然
destinations,目的地
everyday,每天
nl,吧
li,李
surrounding,周圍
skill,技能
mountains,山
chairs,椅子
ethernet,乙太網
desert,沙漠
trend,趨勢
inquiry,查詢
postposted,發佈后
exhibit,展覽
moves,移動
throw,扔
cats,貓
apparently,顯然地
visible,可見
sierra,塞拉
busty,大胸脯的
coupons,優惠券
nba,NBA
fundamental,基本
escape,逃
oldest,古老
steven,史蒂文
epa,美國環保署
worse,更糟
victims,受害者
navigate,導航
glance,一目了然
progressive,進步
tr,TR
mercury,汞
boats,船
rhode,羅德島
coordinator,協調者
obviously,明顯地
greg,格雷格
ya,你
substantial,大量
spaces,空間
handbook,手冊
receiver,接收器
summit,峰會
burning,灼燒痛
bb,嘩啦
somewhat,有點
cialis,西阿裡斯
covering,覆蓋
fiber,纖維
awarded,授予
championship,冠軍
arcade,拱廊
scottish,蘇格蘭
graph,圖
filing,歸檔
judgment,判斷
bedrooms,臥室
ron,羅恩
talks,會談
testimonials,推薦
russell,羅素
sacramento,薩克拉門托
obvious,明顯
tells,告訴
trials,試驗
platinum,鉑
depression,抑鬱症
passing,通過
tissue,組織
memorabilia,大事記
nz,紐西蘭
impossible,不可能的
masters,主人
modeling,建模
foster,培養
clinton,克林頓
richmond,里士滿
fraud,欺詐
roger,知道了
emphasis,強調
cincinnati,辛辛那提
spectrum,光譜
folk,民族
okay,好
explanation,解釋
arrival,到來
bonds,債券
permitted,允許
electricity,電力
alberta,阿爾比省
subsection,款
org,組織
counts,計數
awesome,棒
confirmed,證實
crash,崩潰
mexican,墨西哥人
desired,期望
wallpapers,壁紙
workplace,工作單位
priced,價格
aspect,方面
hist,噓
lift,電梯
pottery,陶器
cartridge,彈藥筒
commons,下議院
assumes,假設
korean,朝鮮語
healing,康復
closer,近
observations,觀察
inter,國米
firefox,火狐
riding,騎
infection,感染
heights,高度
clinic,診所
buttons,按鈕
placement,放置
studios,製片廠
eligibility,資格
venture,冒險
princess,公主
spray,噴霧
dad,爸爸
entering,進入
expense,費用
shadow,影子
involvement,參與
mall,商場
funded,資助
packet,包
lisa,麗莎
grove,格羅夫
thompson,湯普森
vbulletin,視頻公告
fell,下跌
te,特
tourist,旅遊者
creates,創建
grades,成績
rolling,軋制
roads,道路
dublin,都柏林
extend,擴展
subsequent,隨後的
motorcycle,摩托車
memories,記憶
establishment,建立
nelson,納爾遜
cartoons,漫畫
winners,贏家
yard,院子里
sean,肖恩
senator,參議員
mayor,市長
yield,屈服
pat,派特
disclosure,披露
av,影視
arrived,到
presentations,介紹
cocks,旋塞
faces,面臨
adequate,足夠
murder,謀殺
digest,消化
pour,倒
shooting,射擊
radar,雷達
butt,屁股
kent,肯特
stopped,停止
diary,日記
tion,天
wiki,維琪
reg,註冊
entirely,完全
hence,因此
donations,捐款
dust,灰塵
losses,損失
occupation,職業
lakes,湖泊
combat,戰鬥
rescue,救
associations,協會
closely,密切
undergraduate,本科
lodging,住宿
kings,國王
radiation,輻射
reducing,減少
replaced,取代
seriously,認真地
citysearch,城市搜索
shock,休克
kiss,吻
baker,麵包師傅
pollution,污染
launched,推出
abroad,國外
pci,PCI
roof,屋頂
ebony,烏木
ear,耳朵
suggests,表明
ward,病房
tie,綁
flags,標誌
arthur,亞瑟
adds,增加
effectiveness,有效性
nsw,新南威爾士州
atmosphere,大氣層
demonstrate,證明
ian,伊恩
conservative,保守的
ra,RA
visited,訪問
walls,牆壁
elsewhere,別處
drawn,繪製
guestbook,留言簿
beast,野獸
walker,沃克
vendors,供應商
assignment,分配
rc,鋼筋混凝土
ukraine,烏克蘭
whereas,而
bmw,寶馬
dodge,道奇
gordon,戈登
pizza,比薩餅
nearest,最近
queries,查詢
overseas,海外
woods,樹林
absence,缺席
targets,目標
counsel,律師
yoga,瑜伽
mod,國防部
cluster,簇
federation,聯邦
operated,操作
rush,沖
serves,服務
purchases,購買
invited,邀請
mpeg,。.mpeg
yards,碼
farmers,農民
experiment,實驗
chemicals,化學藥品
couples,夫婦
ranking,排名
ceo,首席執行官
phil,菲爾
jokes,笑話
nashville,納什維爾
counseling,諮詢
rico,波多黎各
everybody,大家
partial,部分
glad,高興
j
l
m
b
t
sp
c
e
z
n
v
fi
p
h
u
o
d
s
r
x
w
k
em
g
q
f
http
es
y
il
shoppers,顧客
surprise,驚喜
lamp,燈
trusted,信任
satisfied,滿意
simpson,辛普森
globe,球
wins,勝利
copper,銅
verify,驗證
rack,架
measurements,測量
palace,宮殿
acceptable,可以接受
sublime,崇高
milwaukee,密爾沃基
cst,科技委
twiki,維琪
ordinary,普通
ec,電子商務
receipt,收據
dicke,迪克
shareware,共用軟體
mit,麻省理工學院
kerry,克里
stability,穩定性
warehouse,倉庫
nobody,沒有人
violation,違反
applying,應用
configure,配置
ghost,鬼
medication,藥物
independence,獨立
southwest,西南
boss,老闆
institutional,制度
champion,冠軍
rep,代表
pride,自豪
reporter,記者
cloudy,多雲
linda,琳達
knowing,會意
expectations,期望值
metabolism,新陳代謝
supposed,假定的
keith,基思
plenty,很多
screening,篩分
anna,安娜
ignore,忽視
solo,獨奏
throat,喉
sentence,句
uniform,均勻
maria,瑪麗亞
vacuum,真空
chile,智利
somewhere,地方
publish,發佈
wealth,財富
tall,高
quest,尋求
plaza,廣場
survival,生存
outcomes,結果
recognize,認識
attributes,屬性
rm,。.rm
writes,寫
sri,斯里蘭卡
excellence,卓越
brass,黃銅
dancing,婆娑
pdas,PDA
personally,個人
ross,羅斯
booty,戰利品
edinburgh,愛丁堡
acres,畝
nova,新星
trans,反式
toe,腳趾
thumbnail,縮圖
api,應用程式介面
athletic,運動
acrobat,雜技演員
plates,板
config,配置
fairly,相當
vital,重要
behaviour,行為
telling,告訴
jonathan,喬納森
essays,論文
excel,勝過
venue,場地
thermal,燙的
vt,VT
pioneer,先鋒
intelligent,智慧
lifetime,輩子
whenever,每當
forgotten,忘記
charity,慈善
coastal,海岸的
insight,洞察力
shit,狗屎
realize,實現
enemy,敵人
traveler,旅客
segment,段
secrets,秘密
urw,烏爾夫
rising,上升
obligation,義務
lan,局域網
wishlist,願望清單
harbor,港
aluminum,鋁
modes,模式
wake,喚醒
sms,短信
hungary,匈牙利
stupid,笨
restricted,限制
wells,井
lucky,幸運
regardless,無論
thick,厚
latter,後者
puzzle,難題
merchants,客商
republican,共和
campbell,坎貝爾
opens,打開
enables,使
adventures,冒險
orgy,狂歡
announcement,公告
builder,建築工人
trailers,拖車
attendance,出席
philips,飛利浦
jessica,潔西卡
drum,鼓
vista,前景
arena,競技場
amsterdam,阿姆斯特丹
foto,攝影
glasses,眼鏡
repeat,重複
penalty,罰款
arguments,參數
outcome,結果
tabs,製表元
chips,晶片
ease,緩解
pupils,學生
syndrome,症候群
flood,洪水
terry,泰瑞
nec,日新華社
stewart,斯圖爾特
iraqi,伊拉克人
polish,波蘭語
gm,通用汽車
indoor,室內的
bulgaria,保加利亞
expanded,擴大
cooling,冷卻
casual,休閒
extras,額外
lovely,可愛
centres,中心
regularly,定期
jerry,傑瑞
ri,日
armed,持械
rick,瑞克
smile,微笑
gulf,海灣
appreciate,欣賞
broker,代理
lands,土地
charger,充電器
trucks,卡車
pine,松
cp,正軌
believed,相信
clause,第
rt,室溫
troops,部隊
tend,牧
grown,長大了
candy,糖果
pills,葯
folks,人
emissions,排放
laura,蘿拉
nikon,尼康
tokyo,東京
customize,自訂
mechanisms,機制
shopper,購物者
divorce,離婚
tiger,老虎
tradition,傳統
exposed,暴露
indicators,指標
complaint,抱怨
scenes,場景
donald,唐納德
hunt,打獵
deputy,副
fred,佛瑞德
thai,泰語
sensor,感測器
loaded,載入
angels,天使
experiments,實驗
telecom,電信
physicians,醫生
sealed,密封的
partly,部分地
governance,統轄
balls,有種
scholarship,獎學金
icons,圖示
boost,提高
catering,配餐
supplements,補充
founded,成立
den,書房
mill,磨
afghanistan,阿富汗
spanking,打屁股
locate,探
aud,澳元
camcorder,攝錄一體機
ourselves,我們自己
trained,訓練
pl,。.pl
implementing,實施
roses,玫瑰
bread,麵包
finger,手指
labs,實驗室
keeps,保持
chronic,慢性
burn,燒
moral,道德
pound,磅
dd,日嘎
tranny,特蘭尼
producing,生產
motors,電機
tobacco,煙草
dynamics,動力學
gonna,打算
roberts,羅伯茨
lie,躺
incident,事件
wooden,木
cumshots,射精
emerging,新興
rf,射頻
conversation,談話
billy,比利
worship,崇拜
pension,養老金
herself,她自己
revenues,收入
bukkake,
capability,能力
chest,胸
crm,客戶關係管理
churches,教堂
decrease,減少
damages,損害
fe,鐵
ak,阿克
tough,艱難
precision,精度
craig,克雷格
solve,解決
diverse,不同
reserves,儲量
amp,放大器
contributed,貢獻
reproduction,繁殖
ingredients,成分
shorts,短褲
td,道明
sm,短信
rehabilitation,康復
ah,啊
facing,面臨
defence,防禦
clay,黏土
complaints,投訴
promotions,促銷
minority,少數民族
patches,補丁
passion,熱情
maintaining,維護
johnny,約翰尼
sole,唯一
franchise,特權
tones,色調
recorder,錄音機
laid,奠定
sight,景象
sb,某人
nancy,南錫
environments,環境
towns,城鎮
insider,知情人
seminars,研討會
legacy,遺產
refund,退款
weak,弱
divided,劃分
reception,接待
amd,AMD
correctly,正確
odds,賠率
consequences,後果
geography,地理
integrity,正直
cyprus,塞普勒斯
usc,南加州大學
carter,卡特
trembl,顫抖
ns,納
makers,製造商
appearing,出現
eve,前夕
wise,明智
wv,西弗吉尼亞州
worry,擔心
emails,電子郵件
discrimination,歧視
hearts,紅心
blvd,大道
pleased,高興
genuine,真正
sons,兒子
vitamin,維生素
widely,廣泛
marc,馬克
overnight,一夜之間
danger,危險
processed,處理
emotional,感情的
functionality,功能性
reads,讀
hybrid,混合
roles,角色
raising,提高
combine,合
platforms,平臺
bigger,大
glory,榮耀
diesel,柴油
pad,墊
ja,賈
leaf,葉
versus,對
billing,計費
intermediate,中間
paradise,樂園
implications,影響
phrase,短語
geographic,地理學的
rod,桿
bi,雙
cuba,古巴
compiled,編譯
specialists,專家
albert,阿爾伯特
romantic,浪漫
silk,絲綢
preliminary,初步
saudi,沙特
kate,凱特
introduce,介紹
exceed,超過
fault,故障
bs,BS
hrs,小時
districts,地區
generator,發電機
karen,凱倫
babies,嬰兒
compaq,康柏
suspension,懸吊
examine,檢查
chevrolet,雪佛蘭
jimmy,吉米
promotional,促銷
graham,格雷厄姆
revealed,透露
bristol,布裡斯托爾
margaret,瑪格麗特
communicate,溝通
supplement,補充
cal,卡爾
sectors,部門
infant,嬰兒
machinery,機械
kick,踢
grounds,理由
authentication,認證
correction,校正
wolf,狼
hurt,傷害
meal,餐
ta,呵
rugby,橄欖球
pot,罐
unlike,與
promoting,促進
showtimes,放映時間
fits,適合
regards,問候
portions,部分
probability,概率
sad,傷心
fluid,流體
baskets,籃子
bandwidth,帶寬
equation,方程
samuel,撒母耳
slowly,慢慢
cached,緩存
admissions,招生
limitations,局限性
wright,賴特
img,圖像
dimension,尺寸
grass,草
barry,巴里
quarterly,季刊
illustrated,說明
rpm,。.rpm
profits,利潤
devil,魔鬼
slip,滑
alternate,互生
proven,證明
reviewer,評論家
schedules,附表
warren,養兔場
cherry,櫻桃
deutsch,德語
continental,大陸
florist,花商
marie,瑪麗
studied,研究
achievement,成就
comply,遵守
involves,涉及
webcam,網路攝像頭
kenya,肯亞
quebec,魁北克
chapters,章
funeral,葬禮
literary,文學
earrings,耳環
cuts,削減
automated,自動化
passenger,乘客
mars,火星
convenient,方便
nipples,乳
sized,大小
francis,弗朗西斯
enjoyed,喜歡
manga,漫畫
tvs,電視
socket,插座
silent,沉默
orientation,取向
signals,信號
caps,帽
egg,蛋
mhz,兆赫
noticed,注意
pee,撒尿
theft,盜竊
dennis,鄧尼斯
charlie,查理
pill,丸
nutten,螺母
childhood,童年
flexibility,靈活性
shoot,射
lat,緯度
seeker,探索
poems,詩
meta,元
symbols,符號
humans,人類
swing,擺動
talent,人才
facial,面部
analog,類比
deadline,限期
holders,持有
elite,精英
boundary,邊界
believes,相信
dated,約會
swedish,瑞典文
payday,發薪日
packard,惠普
gi,胃腸道
jurisdiction,管轄
wisdom,智慧
offset,抵消
philip,菲力浦
mint,薄荷
choosing,選擇
spin,紡
assess,評估
robot,機器人
stages,階段
wash,洗
sur,蘇爾
powder,粉
broadway,百老匯
equipped,裝備
attempts,嘗試
roots,根
impacts,影響
gnome,侏儒
gadgets,產品
automation,自動化
collins,柯林斯
declaration,聲明
noble,高貴
stones,石頭
rev,轉速
cartridges,墨水匣
entrance,入口
witness,證人
advantages,優勢
acquired,後天的
displaying,顯示
glasgow,格拉斯哥
gospel,福音
losing,失去
encouraged,鼓勵
winds,風
ll,將
extensions,擴展
athletics,運動
loves,愛
aims,目標
recipient,收件者
shore,岸
appeals,上訴
knight,騎士
loose,松
preparing,準備
linking,連接
alternatives,選擇
determining,確定
pending,待定
lebanon,黎巴嫩
earned,贏得
personalized,個人化
cl,氯化鉀
ho,河
sh,。.sh
corp,公司
southeast,東南
parker,派克
illness,疾病
islamic,伊斯蘭
gt,燃氣輪機
induced,誘導
kennedy,甘迺迪
ieee,國際電子工程師協會
triple,三重
jam,果醬
conditioning,調節
teenage,青少年
ae,AE
soap,肥皂
answered,回答
conventional,協定的
destruction,破壞
titans,巨頭
axis,軸
rocks,岩石
nyc,紐約
secured,擔保
partnerships,夥伴關係
disorder,障礙
routine,常規
sought,尋求
applicants,申請人
migration,遷移
vincent,文森特
toolbar,工具列
increasingly,日益
unusual,異常
mounted,安裝
wearing,穿
genes,基因
basically,基本上
slots,插槽
cooper,庫珀
firewall,防火牆
adjustment,調整
herein,特此
guns,槍
animated,動畫
horny,角質
judicial,司法
scanner,掃描器
attitude,態度
integer,整數
hs,房協
treatments,治療
falling,下降
bachelor,學士
basics,基本
camcorders,攝錄一體機
montreal,蒙特利爾
carpet,地毯
rio,力拓
genetics,遺傳學
lenses,鏡頭
rv,房車
hero,英雄
struct,結構
occupational,職業的
engaged,使用中的
median,中位數
attended,參加
binary,二元的
habitat,生境
besides,此外
pi,圓周率
hosts,主機
punk,朋克
moments,時刻
collective,集體
pace,步伐
dropped,下降
interfaces,介面
walter,沃爾特
difficulty,困難
collector,收藏家
wage,工資
duke,公爵
enrollment,招生
producers,生產者
torture,折磨
dawn,黎明
carl,卡爾
feels,感覺
advertisers,廣告
ot,奧特
arc,弧
deleted,刪除
observation,觀察
representing,代表
strings,字串
ai,。.ai
atlas,地圖集
coalition,聯盟
inkjet,噴墨
confirmation,確認
morris,莫裡斯
petition,請願
convenience,方便
mrs,太太
restoration,恢復
coat,外套
mitchell,米切爾
supervisor,主管
opposition,反對
container,容器
liver,肝
peripherals,外設
wizard,巫師
actors,演員
embedded,嵌入式
ralph,拉爾夫
yr,年
app,。.app
bestsellers,暢銷書
returning,返回
warner,華納
recall,召回
brochure,摺頁冊
corps,軍團
defendant,被告
liable,責任
rica,里卡
eminem,阿姆
assumed,假設
departure,離開
podcast,播客
texts,文本
decor,裝飾
singer,歌手
picked,拿
ion,離子
antenna,天線
killing,殺
bikini,比基尼
minneapolis,明尼阿波利斯
belief,信仰
peru,秘魯
roy,羅伊
tit,乳頭
interactions,相互作用
ic,積體電路
diameter,直徑
shoulder,肩膀
seasons,季節
evans,埃文斯
lookup,查找
doll,娃娃
brokers,經紀人
memphis,孟菲斯
ottawa,渥太華
refine,完善
harvard,哈佛
bidder,出價人
pissing,撒尿
fails,失敗
modification,修改
mice,小鼠
diving,跳水
herald,先驅
literacy,識字
attraction,吸引力
alice,愛麗絲
involve,涉及
fed,美聯儲
nike,耐克
reed,蘆葦
invite,邀請
plugin,。.plugin
suppose,假設
opposite,相反
younger,年輕
moderate,溫和
customized,定製
understood,理解
thirty,三十
rapidly,迅速地
terror,恐怖
ban,禁止
temp,臨時
intervention,介入
latinas,拉丁裔
aging,老化
dealtime,交易時間
amendments,修訂
intro,介紹
holland,荷蘭
zus,祖斯
jeans,牛仔褲
mercedes,賓士
compilation,彙編
clerk,店員
assurance,保證
happening,發生
outline,大綱
verification,驗證
ent,耳鼻喉科
fonts,字體
refers,指
favor,喜愛
veterans,退伍軍人
odd,奇怪
mood,心情
gr,克
sigma,西格馬
vast,巨大
quiz,測驗
wrap,包裝
receives,接收
metropolitan,大主教
fisting,
mx,MX
mills,工廠
tramadol,曲馬多
licence,執照
orchestra,管弦樂隊
attractive,吸引力
demands,要求
recordings,錄音
victim,受害者
occasion,場合
arrive,到達
tracked,跟蹤
xhtml,。.xhtml
lottery,抽獎
gardening,園藝
tops,上衣
sunset,日落
moreover,此外
sleeping,睡眠
obligations,義務
essay,文章
adjustable,可調
jefferson,傑斐遜
allocation,分配
careful,小心
beam,梁
ext,內線
aside,旁白
minimal,極小
michelle,蜜雪兒
polyphonic,和弦
outsourcing,外包
framed,陷害
camps,營地
ncaa,美國國家大學協會
demonstrated,證明
shut,關閉
consult,諮詢
dialogue,對話
ts,TS
dispatched,派出
romania,羅馬尼亞
disposal,處理
ge,通用電氣
trace,跟蹤
packs,包
declared,宣佈
installing,安裝
identifying,識別
discipline,學科
switches,開關
phd,博士
cycling,迴圈
thou,你
aaron,亞倫
greatly,大大
blogging,博客
amy,艾米
handheld,手持式
alphabetical,字母的
mask,面具
florists,花店
voluntary,自願
additions,增加
ng,議員
rough,粗糙
pe,體育
spoke,輻條
messaging,消息
midnight,午夜
commonly,通常
photographer,攝影師
aka,即
quantum,量子
zoo,動物園
requiring,需要
turkish,土耳其文
announce,宣佈
pentium,奔騰
weird,奇怪
inform,通知
cry,哭
intent,意圖
tee,三通
arrow,箭
largely,主要
coal,煤
pleasant,愉快
engagement,婚約
sampling,採樣
tt,TT
murray,默里
constructed,構建
refinance,融資
permits,許可證
bibliography,書目
compatibility,相容性
xl,XL
inspired,啟發
blade,葉片
canyon,峽谷
lion,獅子
cookie,餅乾
sleeve,袖
suddenly,突然
calendars,日曆
merely,只是
furthermore,此外
meals,餐
meters,米
conclusions,結論
stretch,伸展
weddings,婚禮
durham,達勒姆
neil,尼爾
cooperative,合作社
holes,孔
muslim,穆斯林
goto,轉到
arrangement,安排
passes,通過
oxygen,氧
pointer,指標
rankings,排名
hats,帽子
stroke,中風
cricket,蟋蟀
tcp,嘖嘖
strap,帶
crowd,人群
headquarters,總部
measuring,測量
beef,牛肉
transfers,轉移
surf,衝浪
robin,知更鳥
feeding,餵養
cad,計算機輔助設計
entities,實體
township,鄉鎮
remained,仍然
customs,海關
dir,迪爾
dv,DV
administrators,管理員
transformation,轉型
attachments,附件
robinson,羅賓遜
sharon,沙龍
cleaner,清潔工
olympic,奧林匹克
jacksonville,傑克遜維爾
netscape,網景
hook,鉤
proceed,進行
feelings,感情
rainbow,彩虹
gloves,手套
israeli,以色列人
personality,個性
cloud,雲
cord,繩子
adopt,採用
parenting,育兒
bookstore,書店
decline,下降
skiing,滑雪
medicare,醫療
denied,否認
hewlett,惠普
timing,定時
knife,刀
facilitate,促進
liked,喜歡
valve,閥
explains,解釋
flickr,Flickr
val,瓦爾
priorities,優先順序
shelf,架子
subscriber,訂戶
roulette,輪盤賭
jamaica,牙買加
rivers,河流
seeds,種子
lite,建興
nodes,節點
workforce,工作力
pharmaceutical,葯
freeware,免費軟體
targeted,目標
donation,捐贈
fucked,性交了
tales,故事
skype,Skype
incredible,不可思議
fy,財政年度
organizational,組織
tu,塗
cited,引
crop,作物
commonwealth,聯邦
deaths,死亡
islam,伊斯蘭教
hub,樞紐
outer,外
fotos,照片
realized,實現
thumbs,拇指
manhattan,曼哈頓
katrina,卡特裡娜
britney,布蘭妮
ghz,吉兆赫
ef,英孚
portuguese,葡萄牙語
founder,創始人
perfume,香水
honest,誠實
steam,蒸汽
discharge,放電
tired,累
everywhere,到處
adverse,逆
excerpt,摘錄
eng,英
titten,山雀
rr,RR
ace,高手
carol,頌歌
sing,唱
tons,噸
drinks,飲料
stood,站
climbing,攀岩
acute,急性
voices,聲音
halloween,萬聖節
decade,十年
hazardous,危險
twelve,十二
dispute,糾紛
gamecube,遊戲立方體
albany,奧爾巴尼
qualifications,資格
restore,恢復
stack,疊
somebody,有人
sue,蘇
recycling,回收
curve,曲線
housewares,家居用品
